,ticker,quarter,year,pte,ptb,roe,roa,epsChange,bookValuePerShareChange,payableOnEquity,equityOnAsset,potentialScore,riskScore,potential
78,GAS,2,2019,0.5060240963855421,0.7027027027027025,0.284,0.187,-0.004,0.011,0.3333333333333335,0.684,,,1.0
79,GAS,1,2019,0.5120481927710843,0.7027027027027025,0.284,0.195,0.035,-0.034,0.3333333333333335,0.711,,,1.0
80,GAS,4,2018,0.4216867469879518,0.5405405405405405,0.278,0.195,-0.036,0.075,0.0,0.73,,,1.0
81,GAS,3,2018,0.6325301204819277,0.9189189189189187,0.305,0.206,0.116,-0.016,0.3333333333333335,0.697,,,1.0
82,GAS,2,2018,0.48192771084337344,0.5945945945945946,0.271,0.175,0.124,-0.018,0.6666666666666667,0.635,,,1.0
83,GAS,1,2018,0.9759036144578314,1.0,0.236,0.157,0.045,0.062,0.3333333333333335,0.665,,,1.0
84,GAS,4,2017,0.6867469879518072,0.7027027027027025,0.238,0.161,0.067,0.043,0.3333333333333335,0.67,,,1.0
85,GAS,3,2017,0.43975903614457834,0.4324324324324324,0.224,0.151,0.117,0.0,0.6666666666666667,0.655,,,1.0
86,GAS,2,2017,0.38554216867469876,0.29729729729729726,0.203,0.134,0.021,-0.026,0.6666666666666667,0.658,,,1.0
87,GAS,1,2017,0.3373493975903614,0.24324324324324326,0.191,0.13,0.123,0.042,0.3333333333333335,0.668,,,1.0
88,GAS,4,2016,0.49397590361445787,0.3243243243243243,0.175,0.123,0.405,-0.034,0.3333333333333335,0.688,,,1.0
89,GAS,3,2016,0.9518072289156625,0.3783783783783784,0.121,0.088,-0.213,0.024,0.3333333333333335,0.697,,,1.0
90,GAS,2,2016,0.5662650602409638,0.29729729729729726,0.16,0.113,-0.127,-0.051,0.3333333333333335,0.664,,,1.0
91,GAS,1,2016,0.19277108433734944,0.054054054054054036,0.181,0.129,-0.149,0.014,0.3333333333333335,0.698,,,1.0
92,GAS,4,2015,0.05421686746987953,0.0,0.222,0.154,-0.305,-0.023,0.0,0.724,,,1.0
93,GAS,3,2015,0.0,0.08108108108108109,0.317,0.227,-0.049,0.057,0.0,0.766,0.5551498652042447,0.4448501347957552,1.0
94,GAS,2,2015,0.09036144578313252,0.24324324324324326,0.344,0.253,-0.047,0.082,0.0,0.752,0.6592619964908276,0.34073800350917227,1.0
95,GAS,1,2015,0.09036144578313252,0.3243243243243243,0.366,0.259,-0.041,0.071,0.0,0.693,0.664168242061018,0.335831757938982,1.0
96,HPG,4,2022,1.0,0.18181818181818182,0.091,0.049,-0.526,-0.02,0.5384615384615385,0.564,0.6993823971960701,0.30061760280392996,1.0
97,HPG,3,2022,0.26000000000000006,0.18181818181818182,0.197,0.1,-0.404,-0.018,0.6153846153846155,0.533,0.6968620905205318,0.30313790947946817,1.0
98,HPG,2,2022,0.0,0.18181818181818182,0.346,0.164,-0.159,0.01,0.7692307692307694,0.481,0.6997318599249016,0.3002681400750984,1.0
99,HPG,1,2022,0.12999999999999998,0.5,0.433,0.22,0.036,0.09,0.6153846153846155,0.532,0.7686273023573107,0.23137269764268928,1.0
100,HPG,4,2021,0.16000000000000006,0.6363636363636362,0.461,0.223,0.088,0.077,0.6923076923076924,0.508,0.5898271524140728,0.4101728475859271,1.0
101,HPG,3,2021,0.3,0.8636363636363635,0.456,0.217,0.262,0.14,0.7692307692307694,0.482,0.5430742597593448,0.45692574024065524,1.0
102,HPG,2,2021,0.47000000000000003,1.0,0.398,0.184,0.385,0.117,0.8461538461538461,0.462,0.47200710961299097,0.5279928903870089,0.0
103,HPG,1,2021,0.41000000000000003,0.6363636363636362,0.313,0.147,0.349,0.118,0.7692307692307694,0.475,0.3380360385786712,0.6619639614213289,0.0
104,HPG,4,2020,0.5700000000000001,0.6363636363636362,0.252,0.115,0.254,0.078,0.8461538461538461,0.449,0.21045131331926697,0.789548686680733,0.0
105,HPG,3,2020,0.37,0.3181818181818182,0.213,0.1,0.232,0.046,0.7692307692307694,0.466,0.46176330568595464,0.5382366943140454,0.0
106,HPG,2,2020,0.38999999999999996,0.2272727272727272,0.18,0.085,0.089,0.051,0.7692307692307694,0.465,0.5313140885579057,0.46868591144209426,1.0
107,HPG,1,2020,0.12999999999999998,0.0,0.174,0.083,-0.181,-0.194,0.7692307692307694,0.466,0.5687965714890345,0.43120342851096555,1.0
108,HPG,4,2019,0.41000000000000003,0.18181818181818182,0.17,0.083,0.021,0.038,0.7692307692307694,0.468,0.5779611346587025,0.42203886534129753,1.0
