,Date,Close,roe,roa,earningPerShare,bookValuePerShare,assetOnEquity,payableOnEquity
539,2020-08-25,21300.0,0.177,0.03,3241.0,20074.0,5.7,4.7
540,2020-08-26,21100.0,0.177,0.03,3241.0,20074.0,5.7,4.7
541,2020-08-27,21150.0,0.177,0.03,3241.0,20074.0,5.7,4.7
542,2020-08-28,21600.0,0.177,0.03,3241.0,20074.0,5.7,4.7
543,2020-08-31,21300.0,0.177,0.03,3241.0,20074.0,5.7,4.7
544,2020-09-01,21700.0,0.177,0.03,3241.0,20074.0,5.7,4.7
545,2020-09-03,22000.0,0.177,0.03,3241.0,20074.0,5.7,4.7
546,2020-09-04,21850.0,0.177,0.03,3241.0,20074.0,5.7,4.7
547,2020-09-07,21200.0,0.177,0.03,3241.0,20074.0,5.7,4.7
548,2020-09-08,21500.0,0.177,0.03,3241.0,20074.0,5.7,4.7
549,2020-09-09,21200.0,0.177,0.03,3241.0,20074.0,5.7,4.7
550,2020-09-10,21450.0,0.177,0.03,3241.0,20074.0,5.7,4.7
551,2020-09-11,21300.0,0.177,0.03,3241.0,20074.0,5.7,4.7
552,2020-09-14,21500.0,0.177,0.03,3241.0,20074.0,5.7,4.7
553,2020-09-15,21350.0,0.177,0.03,3241.0,20074.0,5.7,4.7
554,2020-09-16,21400.0,0.177,0.03,3241.0,20074.0,5.7,4.7
555,2020-09-17,21300.0,0.177,0.03,3241.0,20074.0,5.7,4.7
556,2020-09-18,21800.0,0.177,0.03,3241.0,20074.0,5.7,4.7
557,2020-09-21,22300.0,0.177,0.03,3241.0,20074.0,5.7,4.7
558,2020-09-22,22350.0,0.177,0.03,3241.0,20074.0,5.7,4.7
559,2020-09-23,22300.0,0.177,0.03,3241.0,20074.0,5.7,4.7
560,2020-09-24,22450.0,0.177,0.03,3241.0,20074.0,5.7,4.7
561,2020-09-25,22400.0,0.177,0.03,3241.0,20074.0,5.7,4.7
562,2020-09-28,22850.0,0.177,0.03,3241.0,20074.0,5.7,4.7
563,2020-09-29,22550.0,0.177,0.03,3241.0,20074.0,5.7,4.7
564,2020-09-30,22600.0,0.177,0.03,3241.0,20074.0,5.7,4.7
565,2020-10-01,22800.0,0.181,0.03,3504.0,21214.0,5.9,4.9
566,2020-10-02,22550.0,0.181,0.03,3504.0,21214.0,5.9,4.9
567,2020-10-05,22550.0,0.181,0.03,3504.0,21214.0,5.9,4.9
568,2020-10-06,22400.0,0.181,0.03,3504.0,21214.0,5.9,4.9
569,2020-10-07,21800.0,0.181,0.03,3504.0,21214.0,5.9,4.9
570,2020-10-08,21350.0,0.181,0.03,3504.0,21214.0,5.9,4.9
571,2020-10-09,21350.0,0.181,0.03,3504.0,21214.0,5.9,4.9
572,2020-10-12,21200.0,0.181,0.03,3504.0,21214.0,5.9,4.9
573,2020-10-13,21400.0,0.181,0.03,3504.0,21214.0,5.9,4.9
574,2020-10-14,22850.0,0.181,0.03,3504.0,21214.0,5.9,4.9
575,2020-10-15,22850.0,0.181,0.03,3504.0,21214.0,5.9,4.9
576,2020-10-16,22650.0,0.181,0.03,3504.0,21214.0,5.9,4.9
577,2020-10-19,23000.0,0.181,0.03,3504.0,21214.0,5.9,4.9
578,2020-10-20,23900.0,0.181,0.03,3504.0,21214.0,5.9,4.9
579,2020-10-21,23750.0,0.181,0.03,3504.0,21214.0,5.9,4.9
580,2020-10-22,23950.0,0.181,0.03,3504.0,21214.0,5.9,4.9
581,2020-10-23,24000.0,0.181,0.03,3504.0,21214.0,5.9,4.9
582,2020-10-26,23350.0,0.181,0.03,3504.0,21214.0,5.9,4.9
583,2020-10-27,23300.0,0.181,0.03,3504.0,21214.0,5.9,4.9
584,2020-10-28,22400.0,0.181,0.03,3504.0,21214.0,5.9,4.9
585,2020-10-29,21800.0,0.181,0.03,3504.0,21214.0,5.9,4.9
586,2020-10-30,21350.0,0.181,0.03,3504.0,21214.0,5.9,4.9
587,2020-11-02,21400.0,0.181,0.03,3504.0,21214.0,5.9,4.9
588,2020-11-03,22000.0,0.181,0.03,3504.0,21214.0,5.9,4.9
589,2020-11-04,22150.0,0.181,0.03,3504.0,21214.0,5.9,4.9
590,2020-11-05,21800.0,0.181,0.03,3504.0,21214.0,5.9,4.9
591,2020-11-06,21600.0,0.181,0.03,3504.0,21214.0,5.9,4.9
592,2020-11-09,22050.0,0.181,0.03,3504.0,21214.0,5.9,4.9
593,2020-11-10,22100.0,0.181,0.03,3504.0,21214.0,5.9,4.9
594,2020-11-11,22000.0,0.181,0.03,3504.0,21214.0,5.9,4.9
595,2020-11-12,22300.0,0.181,0.03,3504.0,21214.0,5.9,4.9
596,2020-11-13,23000.0,0.181,0.03,3504.0,21214.0,5.9,4.9
597,2020-11-16,22900.0,0.181,0.03,3504.0,21214.0,5.9,4.9
598,2020-11-17,23350.0,0.181,0.03,3504.0,21214.0,5.9,4.9
599,2020-11-18,23350.0,0.181,0.03,3504.0,21214.0,5.9,4.9
600,2020-11-19,23400.0,0.181,0.03,3504.0,21214.0,5.9,4.9
601,2020-11-20,23400.0,0.181,0.03,3504.0,21214.0,5.9,4.9
602,2020-11-23,23600.0,0.181,0.03,3504.0,21214.0,5.9,4.9
603,2020-11-24,23650.0,0.181,0.03,3504.0,21214.0,5.9,4.9
604,2020-11-25,23600.0,0.181,0.03,3504.0,21214.0,5.9,4.9
605,2020-11-26,23600.0,0.181,0.03,3504.0,21214.0,5.9,4.9
606,2020-11-27,23700.0,0.181,0.03,3504.0,21214.0,5.9,4.9
607,2020-11-30,24100.0,0.181,0.03,3504.0,21214.0,5.9,4.9
